Customer ID,PL_count,CC_count,HF_count,SA_count,RD_count,MF_count,HL_count,AL_count,Gen insurance health,POS,Login last month,Month,Year,Total active products (sn),Product opened last 3M (sn),Last product opened (sn)
CUST1000000,0,0,1,1,0,1,0,0,N,N,N,6,2026,3,Y,HL
CUST1000001,0,0,0,1,0,0,0,0,N,N,Y,6,2026,1,N,SA
CUST1000002,2,1,0,1,0,0,0,0,Y,N,N,6,2026,3,Y,AL
CUST1000003,2,2,0,1,0,1,0,0,N,N,N,6,2026,4,N,RD
CUST1000004,0,0,0,1,0,0,0,0,N,N,N,6,2026,1,Y,SA
CUST1000005,2,0,0,1,2,0,0,0,N,N,N,6,2026,3,N,None
CUST1000006,0,0,0,1,0,0,0,0,N,N,N,6,2026,1,Y,RD
CUST1000007,0,0,1,1,0,0,0,0,N,N,N,6,2026,2,Y,CC
CUST1000008,0,0,0,0,0,0,0,0,N,N,Y,6,2026,0,N,None
CUST1000009,0,2,0,1,0,0,0,0,N,N,Y,6,2026,2,Y,CC
CUST1000010,0,0,0,1,0,1,0,0,N,N,Y,6,2026,2,N,CC
CUST1000011,0,2,0,1,0,0,1,0,N,N,Y,6,2026,3,Y,SA
CUST1000012,0,0,0,1,0,1,0,0,Y,N,N,6,2026,2,N,None
CUST1000013,0,0,0,1,0,0,0,0,N,N,Y,6,2026,1,N,CC
CUST1000014,0,1,0,1,0,0,0,0,N,N,Y,6,2026,2,N,None
CUST1000015,0,0,0,1,0,0,0,0,N,N,N,6,2026,1,N,PL
CUST1000016,0,2,0,0,0,0,0,0,N,N,N,6,2026,1,Y,SA
CUST1000017,2,0,0,1,0,2,0,0,N,N,Y,6,2026,3,Y,SA
CUST1000018,0,0,0,0,0,0,0,0,Y,N,N,6,2026,0,N,None
CUST1000019,0,0,0,1,0,0,0,0,N,N,N,6,2026,1,Y,HF
CUST1000020,0,0,0,1,2,0,1,0,N,N,N,6,2026,3,N,None
CUST1000021,0,0,0,1,0,0,0,0,N,N,N,6,2026,1,N,None
CUST1000022,0,0,0,1,0,0,0,0,N,N,Y,6,2026,1,N,None
CUST1000023,2,0,0,1,0,0,0,0,N,N,N,6,2026,2,N,None
CUST1000024,0,0,0,1,0,0,0,0,N,N,Y,6,2026,1,Y,RD
CUST1000025,0,1,0,1,0,0,0,0,N,N,N,6,2026,2,Y,PL
