Customer ID,Month period,product_count,product_code,has_product
CUST1000000,2026-06,0,PL,0
CUST1000001,2026-06,0,PL,0
CUST1000002,2026-06,2,PL,1
CUST1000003,2026-06,2,PL,1
CUST1000004,2026-06,0,PL,0
CUST1000005,2026-06,2,PL,1
CUST1000006,2026-06,0,PL,0
CUST1000007,2026-06,0,PL,0
CUST1000008,2026-06,0,PL,0
CUST1000009,2026-06,0,PL,0
CUST1000010,2026-06,0,PL,0
CUST1000011,2026-06,0,PL,0
CUST1000012,2026-06,0,PL,0
CUST1000013,2026-06,0,PL,0
CUST1000014,2026-06,0,PL,0
CUST1000015,2026-06,0,PL,0
CUST1000016,2026-06,0,PL,0
CUST1000017,2026-06,2,PL,1
CUST1000018,2026-06,0,PL,0
CUST1000019,2026-06,0,PL,0
CUST1000020,2026-06,0,PL,0
CUST1000021,2026-06,0,PL,0
CUST1000022,2026-06,0,PL,0
CUST1000023,2026-06,2,PL,1
CUST1000024,2026-06,0,PL,0
CUST1000025,2026-06,0,PL,0
CUST1000026,2026-06,0,PL,0
CUST1000027,2026-06,0,PL,0
CUST1000028,2026-06,0,PL,0
CUST1000029,2026-06,1,PL,1
CUST1000030,2026-06,1,PL,1
CUST1000031,2026-06,0,PL,0
CUST1000032,2026-06,2,PL,1
CUST1000033,2026-06,0,PL,0
CUST1000034,2026-06,0,PL,0
CUST1000035,2026-06,0,PL,0
CUST1000036,2026-06,0,PL,0
CUST1000037,2026-06,0,PL,0
CUST1000038,2026-06,0,PL,0
CUST1000039,2026-06,0,PL,0
CUST1000040,2026-06,0,PL,0
CUST1000041,2026-06,0,PL,0
CUST1000042,2026-06,0,PL,0
CUST1000043,2026-06,0,PL,0
CUST1000044,2026-06,0,PL,0
CUST1000045,2026-06,0,PL,0
CUST1000046,2026-06,0,PL,0
CUST1000047,2026-06,0,PL,0
CUST1000048,2026-06,0,PL,0
CUST1000049,2026-06,0,PL,0
CUST1000050,2026-06,0,PL,0
CUST1000051,2026-06,0,PL,0
CUST1000052,2026-06,0,PL,0
CUST1000053,2026-06,0,PL,0
CUST1000054,2026-06,0,PL,0
CUST1000055,2026-06,2,PL,1
CUST1000056,2026-06,0,PL,0
CUST1000057,2026-06,0,PL,0
CUST1000058,2026-06,0,PL,0
CUST1000059,2026-06,0,PL,0
CUST1000060,2026-06,0,PL,0
CUST1000061,2026-06,0,PL,0
