Customer ID,Month period,product_code,product_txn_count,product_txn_amount_sum,product_txn_amount_avg,product_credit_txn_count,product_debit_txn_count,product_salary_txn_count,product_recurring_txn_count,product_mobile_app_txn_count,product_unique_channels,product_unique_txn_categories
CUST1000000,2026-06,SA,2,901040.04,450520.02,1,1,1,1,0,2,2
CUST1000001,2026-06,CC,1,1351.67,1351.67,1,0,0,0,1,1,1
CUST1000001,2026-06,SA,5,154870.1,30974.02,4,1,1,0,1,5,4
CUST1000003,2026-06,SA,4,280458.57999999996,70114.64499999999,2,2,1,1,2,3,4
CUST1000004,2026-06,SA,3,1502.32,500.7733333333333,1,2,0,0,1,2,3
CUST1000005,2026-06,CC,1,175.24,175.24,1,0,0,0,1,1,1
CUST1000005,2026-06,SA,4,13501.41,3375.3525,2,2,0,0,0,2,2
CUST1000007,2026-06,SA,4,7008.549999999999,1752.1374999999998,1,3,0,0,0,4,4
CUST1000008,2026-06,SA,2,1102.93,551.465,0,2,0,0,2,1,2
CUST1000009,2026-06,CC,1,1699.82,1699.82,0,1,0,0,1,1,1
CUST1000009,2026-06,SA,5,3390.65,678.13,1,4,0,0,0,3,5
CUST1000010,2026-06,SA,3,6218.5,2072.8333333333335,2,1,0,0,2,2,3
CUST1000011,2026-06,CC,1,1105.57,1105.57,1,0,0,0,0,1,1
CUST1000011,2026-06,SA,4,17734.99,4433.7475,1,3,0,0,1,4,4
CUST1000012,2026-06,SA,3,4014.39,1338.1299999999999,0,3,0,0,3,1,3
CUST1000013,2026-06,SA,7,70539.95,10077.135714285714,2,5,0,0,5,3,6
CUST1000014,2026-06,CC,1,1031.99,1031.99,0,1,0,0,0,1,1
CUST1000014,2026-06,SA,8,10453.41,1306.67625,3,5,0,0,3,4,7
CUST1000015,2026-06,SA,3,5789.25,1929.75,0,3,0,0,0,1,3
CUST1000016,2026-06,CC,2,3237.74,1618.87,1,1,0,0,2,1,2
CUST1000016,2026-06,SA,5,21977.79,4395.558,2,3,0,0,2,4,5
CUST1000017,2026-06,SA,3,8608.15,2869.383333333333,2,1,0,0,1,3,3
CUST1000018,2026-06,SA,3,35672.43,11890.81,1,2,0,0,1,3,3
CUST1000019,2026-06,MF,1,13881.11,13881.11,0,1,0,0,1,1,1
CUST1000019,2026-06,SA,1,10297.35,10297.35,0,1,0,0,0,1,1
CUST1000020,2026-06,SA,2,3362.87,1681.435,1,1,0,0,0,1,2
CUST1000021,2026-06,SA,5,39418.02,7883.603999999999,2,3,0,0,3,3,5
CUST1000022,2026-06,SA,2,3396.6499999999996,1698.3249999999998,1,1,0,0,0,1,2
CUST1000023,2026-06,SA,4,9423.47,2355.8675,3,1,0,0,4,1,4
CUST1000024,2026-06,SA,2,1629.0,814.5,0,2,0,0,0,2,2
CUST1000025,2026-06,CC,2,9867.99,4933.995,0,2,0,1,1,2,2
CUST1000025,2026-06,SA,2,1857.03,928.515,0,2,0,0,2,1,2
CUST1000026,2026-06,SA,1,24782.19,24782.19,1,0,0,0,1,1,1
CUST1000027,2026-06,SA,4,3961.5499999999997,990.3874999999999,1,3,0,0,0,3,4
CUST1000028,2026-06,CC,1,3698.15,3698.15,0,1,0,0,1,1,1
CUST1000028,2026-06,SA,4,9780.810000000001,2445.2025000000003,2,2,0,0,3,2,4
CUST1000029,2026-06,CC,1,843.9,843.9,0,1,0,0,1,1,1
CUST1000029,2026-06,SA,1,1989.3,1989.3,0,1,0,0,0,1,1
CUST1000030,2026-06,SA,1,2006.9,2006.9,1,0,0,0,0,1,1
CUST1000031,2026-06,SA,1,4733.91,4733.91,0,1,0,0,1,1,1
CUST1000032,2026-06,SA,1,6257.0,6257.0,0,1,0,0,0,1,1
CUST1000033,2026-06,CC,1,4644.63,4644.63,0,1,0,0,1,1,1
CUST1000033,2026-06,MF,1,988.85,988.85,1,0,0,0,0,1,1
CUST1000033,2026-06,SA,2,4257.469999999999,2128.7349999999997,0,2,0,0,2,1,2
CUST1000035,2026-06,SA,5,19230.73,3846.1459999999997,3,2,0,0,2,4,4
CUST1000036,2026-06,SA,6,10916.04,1819.3400000000001,1,5,0,1,2,4,5
CUST1000037,2026-06,SA,2,1267.12,633.56,2,0,0,1,1,2,2
CUST1000038,2026-06,CC,1,1352.09,1352.09,0,1,0,0,0,1,1
CUST1000038,2026-06,SA,3,19692.9,6564.3,3,0,0,0,3,1,3
CUST1000039,2026-06,SA,2,3870.56,1935.28,0,2,0,0,2,1,1
CUST1000040,2026-06,SA,1,14052.12,14052.12,0,1,0,0,1,1,1
CUST1000041,2026-06,RD,2,1446.08,723.04,2,0,0,0,0,2,2
CUST1000041,2026-06,SA,4,21839.25,5459.8125,1,3,0,0,3,2,3
CUST1000042,2026-06,CC,1,62775.96,62775.96,0,1,0,0,1,1,1
CUST1000042,2026-06,RD,1,2833.46,2833.46,0,1,0,0,0,1,1
CUST1000042,2026-06,SA,2,1826.3,913.15,2,0,0,0,1,2,2
CUST1000043,2026-06,SA,2,3451.21,1725.605,2,0,0,0,1,2,2
CUST1000044,2026-06,CC,1,11230.7,11230.7,0,1,0,0,0,1,1
CUST1000044,2026-06,MF,1,81578.02,81578.02,1,0,0,0,1,1,1
CUST1000044,2026-06,SA,2,14521.98,7260.99,2,0,0,0,1,2,2
