segment_key,product_code,segment_product_holding_count,segment_product_customer_count,segment_product_holding_rate
PERSONA_001|INCOME_B_001|LIFESTAG_001,CC,19,28,0.6785714285714286
PERSONA_001|INCOME_B_001|LIFESTAG_001,HL,0,28,0.0
PERSONA_001|INCOME_B_001|LIFESTAG_001,MF,8,28,0.2857142857142857
PERSONA_001|INCOME_B_001|LIFESTAG_001,PL,1,28,0.03571428571428571
PERSONA_001|INCOME_B_001|LIFESTAG_001,RD,7,28,0.25
PERSONA_001|INCOME_B_001|LIFESTAG_001,SA,28,28,1.0
PERSONA_001|INCOME_B_001|LIFESTAG_002,CC,219,458,0.4781659388646288
PERSONA_001|INCOME_B_001|LIFESTAG_002,HL,64,458,0.13973799126637554
PERSONA_001|INCOME_B_001|LIFESTAG_002,MF,123,458,0.2685589519650655
PERSONA_001|INCOME_B_001|LIFESTAG_002,PL,103,458,0.22489082969432314
PERSONA_001|INCOME_B_001|LIFESTAG_002,RD,108,458,0.23580786026200873
PERSONA_001|INCOME_B_001|LIFESTAG_002,SA,430,458,0.9388646288209607
PERSONA_001|INCOME_B_001|LIFESTAG_003,CC,95,188,0.5053191489361702
PERSONA_001|INCOME_B_001|LIFESTAG_003,HL,20,188,0.10638297872340426
PERSONA_001|INCOME_B_001|LIFESTAG_003,MF,58,188,0.30851063829787234
PERSONA_001|INCOME_B_001|LIFESTAG_003,PL,34,188,0.18085106382978725
PERSONA_001|INCOME_B_001|LIFESTAG_003,RD,24,188,0.1276595744680851
PERSONA_001|INCOME_B_001|LIFESTAG_003,SA,176,188,0.9361702127659575
PERSONA_001|INCOME_B_001|LIFESTAG_004,CC,47,102,0.46078431372549017
PERSONA_001|INCOME_B_001|LIFESTAG_004,HL,8,102,0.0784313725490196
PERSONA_001|INCOME_B_001|LIFESTAG_004,MF,27,102,0.2647058823529412
PERSONA_001|INCOME_B_001|LIFESTAG_004,PL,25,102,0.24509803921568626
PERSONA_001|INCOME_B_001|LIFESTAG_004,RD,29,102,0.28431372549019607
PERSONA_001|INCOME_B_001|LIFESTAG_004,SA,95,102,0.9313725490196079
PERSONA_001|INCOME_B_001|LIFESTAG_006,CC,63,130,0.4846153846153846
PERSONA_001|INCOME_B_001|LIFESTAG_006,HL,13,130,0.1
PERSONA_001|INCOME_B_001|LIFESTAG_006,MF,43,130,0.33076923076923076
PERSONA_001|INCOME_B_001|LIFESTAG_006,PL,33,130,0.25384615384615383
PERSONA_001|INCOME_B_001|LIFESTAG_006,RD,21,130,0.16153846153846155
PERSONA_001|INCOME_B_001|LIFESTAG_006,SA,126,130,0.9692307692307692
PERSONA_001|INCOME_B_002|LIFESTAG_001,CC,13,25,0.52
PERSONA_001|INCOME_B_002|LIFESTAG_001,HL,0,25,0.0
PERSONA_001|INCOME_B_002|LIFESTAG_001,MF,6,25,0.24
PERSONA_001|INCOME_B_002|LIFESTAG_001,PL,4,25,0.16
PERSONA_001|INCOME_B_002|LIFESTAG_001,RD,4,25,0.16
PERSONA_001|INCOME_B_002|LIFESTAG_001,SA,22,25,0.88
PERSONA_001|INCOME_B_002|LIFESTAG_002,CC,199,436,0.45642201834862384
PERSONA_001|INCOME_B_002|LIFESTAG_002,HL,56,436,0.12844036697247707
PERSONA_001|INCOME_B_002|LIFESTAG_002,MF,118,436,0.2706422018348624
PERSONA_001|INCOME_B_002|LIFESTAG_002,PL,79,436,0.1811926605504587
PERSONA_001|INCOME_B_002|LIFESTAG_002,RD,101,436,0.231651376146789
PERSONA_001|INCOME_B_002|LIFESTAG_002,SA,414,436,0.9495412844036697
PERSONA_001|INCOME_B_002|LIFESTAG_003,CC,70,162,0.43209876543209874
PERSONA_001|INCOME_B_002|LIFESTAG_003,HL,13,162,0.08024691358024691
