dataset,cluster_id,feature_type,feature,cluster_exact_value,overall_exact_value,difference,abs_difference,standardized_difference_for_ranking,direction,dataset_role,source_label,note,raw_customer_count
Syn_01,0,numeric,Age,26.48999564577329,38.83521263638563,-12.345216990612336,12.345216990612336,0.996001272002036,lower than overall,Large synthetic iteration 1,LLM synthetic dataset 1,Generated larger synthetic dataset.,235637
Syn_01,0,numeric,digital_Login count 90D (sn),38.25018142611292,25.929582366097005,12.320599060015912,12.320599060015912,0.6200022300561672,higher than overall,Large synthetic iteration 1,LLM synthetic dataset 1,Generated larger synthetic dataset.,235637
Syn_01,0,numeric,digital_Login count 30D (sn),12.794045076613656,7.447081740134189,5.346963336479467,5.346963336479467,0.6199044999438014,higher than overall,Large synthetic iteration 1,LLM synthetic dataset 1,Generated larger synthetic dataset.,235637
Syn_01,0,numeric,Risk profile score,676.5557859379212,720.641626739434,-44.085840801512745,44.085840801512745,0.5880584528709385,lower than overall,Large synthetic iteration 1,LLM synthetic dataset 1,Generated larger synthetic dataset.,235637
Syn_01,0,numeric,Days since last login (sn),16.984573596798608,40.8830489269512,-23.89847533015259,23.89847533015259,0.5299152927662937,lower than overall,Large synthetic iteration 1,LLM synthetic dataset 1,Generated larger synthetic dataset.,235637
Syn_01,0,numeric,digital_Days since last login (sn),16.984573596798608,40.8830489269512,-23.89847533015259,23.89847533015259,0.5299152927662937,lower than overall,Large synthetic iteration 1,LLM synthetic dataset 1,Generated larger synthetic dataset.,235637
Syn_01,0,numeric,digital_Preferred login hour (sn),18.42138547347032,16.112431409328757,2.308954064141563,2.308954064141563,0.4942753640675177,higher than overall,Large synthetic iteration 1,LLM synthetic dataset 1,Generated larger synthetic dataset.,235637
Syn_01,0,numeric,Monthly income proxy (sn),122985.8007630264,237346.72420714912,-114360.92344412272,114360.92344412272,0.476579849256104,lower than overall,Large synthetic iteration 1,LLM synthetic dataset 1,Generated larger synthetic dataset.,235637
Syn_01,0,numeric,txn_UPI txn count (sn),13.15689730245288,10.737689751609468,2.4192075508434137,2.4192075508434137,0.4073778828236681,higher than overall,Large synthetic iteration 1,LLM synthetic dataset 1,Generated larger synthetic dataset.,235637
Syn_01,0,numeric,txn_Avg monthly balance proxy (sn),621639.8034721848,1463929.9061604503,-842290.1026882655,842290.1026882655,0.289819518429483,lower than overall,Large synthetic iteration 1,LLM synthetic dataset 1,Generated larger synthetic dataset.,235637
Syn_01,1,numeric,Risk profile score,794.0789486516799,720.641626739434,73.43732191224592,73.43732191224592,0.9795761433049172,higher than overall,Large synthetic iteration 1,LLM synthetic dataset 1,Generated larger synthetic dataset.,235637
Syn_01,1,numeric,Days since last login (sn),22.51063051640903,40.8830489269512,-18.372418410542167,18.372418410542167,0.4073827031368672,lower than overall,Large synthetic iteration 1,LLM synthetic dataset 1,Generated larger synthetic dataset.,235637
